timestamp,losses_mw,vm_mean,vm_min,vm_max,voltage_deviation_pu,max_line_loading,n_overloaded_lines,n_voltage_violations,total_load_mw,converged,total_gen_mw
2019-01-01 11:00:00+00:00,407.7506428692385,0.9829217850889234,0.9166593549554246,1.04,0.024545264075207282,0.057146304991356985,0,5,3818.5118088040927,True,1341.8412972260346
2019-01-01 12:00:00+00:00,377.7497815390288,0.9832799560246591,0.9202648303864347,1.04,0.024224758059629318,0.05887041919234225,0,5,3789.9070396466573,True,1412.8722233236606
2019-01-01 13:00:00+00:00,276.1408790314876,0.9844141881032322,0.9359165656503954,1.0400000000000003,0.023222735070009548,0.06383025870769594,0,4,3772.050857683618,True,1751.6216070650846
2019-01-01 14:00:00+00:00,202.12237299490155,0.9851937551199171,0.9430000000000001,1.04,0.02252331360219887,0.06971699009340294,0,4,3789.760679875407,True,2265.874471960912
2019-01-01 15:00:00+00:00,197.544616840312,0.9850660155635119,0.9430000000000001,1.0400000000000003,0.022573723982371376,0.0748418023933276,0,3,3922.427217525304,True,2633.9572069055266
2019-01-01 16:00:00+00:00,213.79364264677343,0.984560925088783,0.943,1.04,0.022945426671695912,0.07794215502377187,0,3,4166.394316105729,True,2885.822335870603
2019-01-01 17:00:00+00:00,215.65072243568645,0.9844704388429483,0.943,1.04,0.023024200777232107,0.07842092180413789,0,3,4216.025298376168,True,2938.0469205456243
2019-01-01 18:00:00+00:00,206.3795120499957,0.9846260519026429,0.9429999999999998,1.0400000000000003,0.022931041211656004,0.07770934350875355,0,3,4171.903130484953,True,2896.7867832534935
2019-01-01 19:00:00+00:00,196.98191901820087,0.9849685859832712,0.9430000000000001,1.0400000000000003,0.02268102252772858,0.0760021948507679,0,3,4002.7845981973646,True,2719.084709246189
2019-01-01 20:00:00+00:00,192.56228726666455,0.9852228486897837,0.9430000000000001,1.0400000000000003,0.02248963883963895,0.07423078764194406,0,3,3862.9473639808666,True,2591.4965130015776
2019-01-01 21:00:00+00:00,184.8471586974734,0.9854031066732097,0.943,1.04,0.022350047817559223,0.07271129868762628,0,3,3792.7572782034836,True,2550.029785957469
